z,H_SI,H_km_s_Mpc
2.00875,6.6512053398747294e-18,205.2347520714712
2.0100000000000002,6.655045652904189e-18,205.35325174968034
2.01125,6.6588869412104055e-18,205.47178152178572
2.0125,6.6627292044328834e-18,205.59034137666362
2.01375,6.666572442211523e-18,205.7089313032025
2.015,6.670416654186638e-18,205.82755129030363
2.01625,6.6742618399989395e-18,205.9462013268805
2.0175,6.678107999289546e-18,206.0648814018592
2.01875,6.681955131699975e-18,206.18359150417808
2.02,6.6858032368721495e-18,206.30233162278807
2.02125,6.689652314448393e-18,206.42110174665243
2.0225,6.693502364071425e-18,206.53990186474664
2.02375,6.6973533853843744e-18,206.65873196605875
2.025,6.70120537803076e-18,206.777592039589
2.02625,6.705058341654509e-18,206.89648207435002
2.0275,6.7089122758999355e-18,207.01540205936658
2.02875,6.712767180411762e-18,207.13435198367588
2.0300000000000002,6.716623054835103e-18,207.2533318363274
2.03125,6.720479898815466e-18,207.37234160638255
2.0325,6.724337711998762e-18,207.49138128291534
2.03375,6.72819649403129e-18,207.61045085501166
2.035,6.7320562445597486e-18,207.7295503117698
2.03625,6.7359169632312255e-18,207.84867964230003
2.0375,6.7397786496932075e-18,207.96783883572488
2.03875,6.743641303593566e-18,208.08702788117887
2.04,6.747504924580575e-18,208.20624676780878
2.0412500000000002,6.751369512302891e-18,208.32549548477334
2.0425,6.755235066409562e-18,208.44477402124332
2.04375,6.759101586550032e-18,208.56408236640164
2.045,6.7629690723741276e-18,208.68342050944312
2.04625,6.76683752353207e-18,208.8027884395747
2.0475,6.770706939674465e-18,208.92218614601518
2.04875,6.774577320452308e-18,209.04161361799544
2.05,6.778448665516978e-18,209.16107084475814
2.05125,6.782320974520249e-18,209.28055781555815
2.0525,6.7861942471142716e-18,209.40007451966196
2.05375,6.790068482951583e-18,209.51962094634797
2.055,6.793943681685111e-18,209.6391970849067
2.05625,6.7978198429681615e-18,209.7588029246402
2.0575,6.801696966454428e-18,209.87843845486267
2.05875,6.805575051797982e-18,209.99810366489984
2.06,6.809454098653284e-18,210.11779854408942
2.0612500000000002,6.813334106675168e-18,210.23752308178078
2.0625,6.8172150755188545e-18,210.35727726733506
2.06375,6.821097004839945e-18,210.4770610901253
2.065,6.824979894294417e-18,210.59687453953603
2.06625,6.82886374353863e-18,210.71671760496363
2.0675,6.832748552229321e-18,210.83659027581612
2.06875,6.836634320023607e-18,210.95649254151323
2.07,6.840521046578979e-18,211.0764243914862
2.07125,6.8444087315533085e-18,211.19638581517808
2.0725000000000002,6.848297374604841e-18,211.31637680204344
2.07375,6.852186975392197e-18,211.4363973415484
2.075,6.856077533574376e-18,211.55644742317077
2.07625,6.859969048810745e-18,211.67652703639973
2.0775,6.8638615207610545e-18,211.7966361707363
2.07875,6.86775494908542e-18,211.91677481569266
